Titre,Date,ID,date_version
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_07-08-2004,2021-12-31
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_06-07-2005,2022-08-18
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_13-06-2003,2022-01-20
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_01-10-2005,2021-12-27
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_23-07-1996,2022-07-01
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_04-08-1995,2021-12-23
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_14-02-1995,2021-12-24
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_09-02-1995,2021-12-27
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_27-02-1996,2021-12-24
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_27-11-2003,2022-01-01
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_03-01-2004,2021-12-25
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_15-04-2003,2021-12-27
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_20-02-2004,2022-07-22
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_06-07-1996,2021-12-30
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_29-05-1996,2022-01-01
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_14-05-1996,2022-01-01
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_22-12-1998,2022-01-01
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_04-09-1998,2022-01-15
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_10-07-1999,2022-01-13
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_16-06-2000,2021-12-17
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_18-06-1998,2022-01-17
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_19-07-1998,2021-12-11
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_02-07-1998,2021-12-04
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_16-05-2001,2021-12-09
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_01-05-1996,2021-12-03
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_31-12-2002,2021-12-02
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_01-07-2000,2021-12-06
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_08-05-1996,2021-12-13
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_18-01-2002,2022-07-06
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_01-01-2002,2021-11-27
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_05-01-2002,2022-03-01
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_21-09-2000,2021-11-25
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_11-07-2000,2022-02-01
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_31-12-2000,2021-11-22
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_05-03-2002,2021-08-01
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_12-12-2001,2021-11-18
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_17-11-2001,2022-04-12
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_25-08-2001,2021-11-04
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_13-06-2001,2021-10-27
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_14-03-1975,2021-10-25
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_30-12-1975,2021-10-21
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_13-07-1975,2021-11-06
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_01-01-1973,2021-11-06
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_16-09-1972,2021-10-22
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_09-07-1972,2021-10-17
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_11-07-1971,2021-10-17
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_08-07-1972,2021-10-22
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_09-06-1970,2022-01-01
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_08-06-1977,2021-10-10
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_31-12-1977,2021-10-16
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_11-07-1976,2021-10-13
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_13-07-1976,2021-10-11
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_01-01-1976,2022-07-31
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_14-07-1983,2021-10-09
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_13-07-1983,2021-10-04
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_27-06-1983,2021-10-01
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_27-12-1983,2021-10-07
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_24-12-1980,2022-07-01
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_13-05-1981,2021-10-01
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_03-02-1981,2021-10-07
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_23-07-1980,2021-10-06
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_09-02-1964,2022-08-05
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_28-04-1967,2022-04-08
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_17-06-1966,2021-12-30
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_28-11-1968,2022-05-04
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_01-03-1810,2021-10-02
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_17-05-1819,2021-10-17
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_02-07-1901,2022-02-26
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_13-05-1863,2021-09-16
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_11-12-1905,2022-03-06
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_28-04-1832,2021-10-06
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_12-04-1848,2021-09-16
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_18-10-1919,2021-10-22
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_08-10-1944,2021-09-06
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_30-07-1939,2021-09-08
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_04-12-1926,2021-09-02
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_18-02-1919,2021-09-18
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_05-10-1945,2021-08-26
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_25-05-1946,2021-08-26
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_08-02-1945,2021-08-26
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_19-06-1955,2021-08-26
